Year,Median household income,zipcode
2011,77064,91901
2011,78187,91902
2011,80375,91905
2011,57917,91906
2011,56510,91910
2011,48386,91911
2011,89737,91913
2011,105462,91914
2011,94812,91915
2011,54929,91916
2011,60385,91917
2011,40662,91931
2011,45480,91932
2011,87628,91934
2011,101336,91935
2011,71528,91941
2011,52752,91942
2011,50512,91945
2011,35179,91948
2011,37072,91950
2011,75737,91962
2011,36393,91963
2011,61656,91977
2011,72579,91978
2011,,91980
2011,77042,92003
2011,41064,92004
2011,87857,92007
2011,62957,92008
2011,101170,92009
2011,87442,92010
2011,96329,92011
2011,126901,92014
2011,75715,92019
2011,49444,92020
2011,52909,92021
2011,88615,92024
2011,45998,92025
2011,58196,92026
2011,56857,92027
2011,66508,92028
2011,75304,92029
2011,65670,92036
2011,96519,92037
2011,65128,92040
2011,51105,92054
2011,47197,92055
2011,70057,92056
2011,70256,92057
2011,49986,92058
2011,92703,92059
2011,76250,92060
2011,51354,92061
2011,94724,92064
2011,77594,92065
2011,41779,92066
2011,148245,92067
2011,53060,92069
2011,51488,92070
2011,69828,92071
2011,84893,92075
2011,58367,92078
2011,60818,92081
2011,77264,92082
2011,48118,92083
2011,52293,92084
2011,38828,92086
2011,96932,92091
2011,52602,92101
2011,39258,92102
2011,58292,92103
2011,46888,92104
2011,35564,92105
2011,82762,92106
2011,60673,92107
2011,63826,92108
2011,63474,92109
2011,56166,92110
2011,56641,92111
2011,28437,92113
2011,54614,92114
2011,43567,92115
2011,51117,92116
2011,64690,92117
2011,93777,92118
2011,70536,92119
2011,79958,92120
2011,102391,92121
2011,72671,92122
2011,69962,92123
2011,76449,92124
2011,81266,92126
2011,117016,92127
2011,89657,92128
2011,106153,92129
2011,124229,92130
2011,127009,92131
2011,,92132
2011,,92134
2011,,92135
2011,61446,92139
2011,,92140
2011,218094,92145
2011,,92147
2011,55085,92154
2011,,92155
2011,36048,92173
2011,43415,92201
2011,76695,92203
2011,110948,92210
2011,62495,92211
2011,38397,92220
2011,,92222
2011,61716,92223
2011,43117,92225
2011,38565,92227
2011,30288,92230
2011,35992,92231
2011,35952,92233
2011,45088,92234
2011,43750,92236
2011,57083,92239
2011,34700,92240
2011,38765,92241
2011,29911,92242
2011,39754,92243
2011,52668,92249
2011,46359,92250
2011,56192,92251
2011,43718,92252
2011,78150,92253
2011,26661,92254
2011,38203,92256
2011,16218,92257
2011,25775,92258
2011,18750,92259
2011,50087,92260
2011,44760,92262
2011,46850,92264
2011,31509,92266
2011,,92267
2011,31645,92268
2011,76261,92270
2011,34432,92273
2011,31296,92274
2011,24871,92275
2011,43508,92276
2011,42544,92277
2011,88889,92278
2011,,92280
2011,28688,92281
2011,40811,92282
2011,23663,92283
2011,43874,92284
2011,22188,92285
2011,41643,92301
2011,,92304
2011,85682,92305
2011,58012,92307
2011,45979,92308
2011,33000,92309
2011,52798,92310
2011,48020,92311
2011,64337,92313
2011,41168,92314
2011,31541,92315
2011,49509,92316
2011,44286,92320
2011,60847,92321
2011,59657,92322
2011,43283,92324
2011,50811,92325
2011,34667,92327
2011,46061,92328
2011,26250,92332
2011,36250,92333
2011,44919,92335
2011,84492,92336
2011,69261,92337
2011,,92338
2011,76136,92339
2011,29000,92341
2011,62938,92342
2011,69508,92344
2011,46793,92345
2011,65156,92346
2011,31188,92347
2011,75593,92352
2011,62620,92354
2011,24821,92356
2011,65982,92358
2011,54620,92359
2011,30840,92363
2011,42750,92364
2011,36822,92365
2011,27049,92368
2011,50763,92371
2011,37988,92372
2011,72693,92373
2011,63658,92374
2011,45860,92376
2011,78777,92377
2011,48889,92378
2011,58304,92382
2011,31429,92384
2011,94286,92385
2011,41783,92386
2011,22188,92389
2011,37601,92391
2011,59547,92392
2011,54530,92394
2011,41041,92395
2011,79628,92397
2011,53718,92398
2011,60779,92399
2011,15047,92401
2011,36300,92404
2011,43756,92405
2011,55706,92407
2011,35462,92408
2011,30538,92410
2011,32508,92411
2011,49694,92501
2011,60347,92503
2011,56402,92504
2011,58758,92505
2011,80378,92506
2011,41807,92507
2011,97132,92508
2011,57039,92509
2011,69438,92518
2011,51619,92530
2011,85639,92532
2011,50401,92536
2011,43438,92539
2011,28346,92543
2011,46292,92544
2011,40748,92545
2011,39530,92548
2011,55495,92549
2011,57364,92551
2011,43730,92553
2011,75098,92555
2011,60901,92557
2011,79809,92561
2011,84359,92562
2011,80033,92563
2011,63021,92567
2011,42603,92570
2011,51870,92571
2011,58765,92582
2011,43014,92583
2011,73422,92584
2011,62679,92585
2011,36092,92586
2011,70629,92587
2011,41449,92590
2011,67731,92591
2011,86043,92592
2011,64326,92595
2011,82554,92596
2011,105587,92602
2011,128466,92603
2011,88242,92604
2011,91777,92606
2011,122694,92610
2011,71544,92612
2011,94442,92614
2011,31750,92617
2011,88823,92618
2011,107841,92620
2011,74223,92624
2011,112727,92625
2011,75674,92626
2011,58445,92627
2011,85068,92629
2011,85419,92630
2011,34789,92637
2011,85551,92646
2011,74579,92647
2011,82858,92648
2011,82859,92649
2011,99893,92651
2011,87131,92653
2011,46893,92655
2011,97807,92656
2011,155579,92657
2011,113054,92660
2011,101324,92661
2011,83929,92662
2011,89927,92663
2011,75392,92672
2011,118183,92673
2011,73373,92675
2011,96429,92676
2011,100480,92677
2011,152250,92678
2011,138826,92679
2011,56725,92683
2011,100388,92688
2011,95389,92691
2011,98022,92692
2011,133000,92694
2011,44846,92701
2011,54581,92703
2011,58186,92704
2011,80048,92705
2011,60574,92706
2011,60447,92707
2011,81250,92708
2011,64824,92780
2011,103802,92782
2011,47348,92801
2011,52289,92802
2011,53080,92804
2011,52557,92805
2011,58116,92806
2011,94165,92807
2011,106892,92808
2011,80023,92821
2011,126154,92823
2011,63653,92831
2011,58443,92832
2011,70388,92833
2011,96250,92835
2011,62558,92840
2011,57790,92841
2011,51966,92843
2011,50595,92844
2011,89768,92845
2011,84691,92860
2011,150918,92861
2011,76781,92865
2011,60376,92866
2011,81277,92867
2011,70888,92868
2011,94545,92869
2011,78923,92870
2011,65460,92879
2011,105788,92880
2011,98848,92881
2011,75408,92882
2011,97460,92883
2011,105448,92886
2011,130449,92887
2011,51108,93001
2011,70866,93003
2011,73863,93004
2011,83163,93010
2011,90264,93012
2011,71702,93013
2011,63844,93015
2011,103214,93021
2011,72031,93022
2011,68051,93023
2011,52346,93030
2011,53755,93033
2011,83512,93035
2011,64563,93036
2011,46375,93040
2011,52275,93041
2011,,93042
2011,,93043
2011,54225,93060
2011,84813,93063
2011,,93064
2011,93898,93065
2011,97163,93066
2011,43533,93067
2011,51021,93101
2011,67845,93103
2011,73673,93105
2011,110519,93108
2011,79908,93109
2011,75090,93110
2011,93810,93111
2011,56719,93117
2011,26350,93201
2011,41584,93202
2011,30204,93203
2011,29183,93204
2011,21789,93205
2011,41154,93206
2011,17411,93207
2011,9604,93208
2011,48232,93210
2011,31452,93212
2011,37132,93215
2011,46607,93218
2011,25293,93219
2011,,93220
2011,48670,93221
2011,44593,93222
2011,32861,93223
2011,51094,93224
2011,55330,93225
2011,44479,93226
2011,53929,93230
2011,23705,93234
2011,36543,93235
2011,59417,93238
2011,37794,93239
2011,24611,93240
2011,34248,93241
2011,45760,93242
2011,60753,93243
2011,46042,93244
2011,55620,93245
2011,35016,93247
2011,31111,93249
2011,35698,93250
2011,57000,93251
2011,32143,93252
2011,44265,93254
2011,37292,93255
2011,27383,93256
2011,39291,93257
2011,28482,93258
2011,23333,93260
2011,29213,93261
2011,,93262
2011,39466,93263
2011,54625,93265
2011,40341,93266
2011,31349,93267
2011,42111,93268
2011,31694,93270
2011,63802,93271
2011,44667,93272
2011,45029,93274
2011,43125,93276
2011,54284,93277
2011,40117,93280
2011,31487,93283
2011,30576,93285
2011,36394,93286
2011,62500,93287
2011,52503,93291
2011,53281,93292
2011,33787,93301
2011,36692,93304
2011,36340,93305
2011,50451,93306
2011,34243,93307
2011,44102,93308
2011,47567,93309
2011,84848,93311
2011,88350,93312
2011,60393,93313
2011,94751,93314
2011,54305,93401
2011,57734,93402
2011,37643,93405
2011,,93410
2011,67629,93420
2011,68934,93422
2011,65398,93424
2011,62391,93426
2011,66727,93427
2011,75106,93428
2011,38750,93429
2011,58043,93430
2011,58193,93432
2011,47841,93433
2011,44407,93434
2011,52864,93436
2011,56139,93437
2011,72083,93440
2011,76563,93441
2011,52850,93442
2011,62470,93444
2011,36984,93445
2011,60853,93446
2011,65682,93449
2011,50272,93450
2011,59375,93451
2011,44063,93452
2011,42885,93453
2011,51257,93454
2011,69453,93455
2011,47332,93458
2011,102232,93460
2011,65491,93461
2011,68654,93463
2011,86635,93465
2011,29765,93501
2011,54246,93505
2011,87591,93510
2011,10774,93512
2011,62396,93513
2011,56470,93514
2011,36446,93516
2011,58068,93517
2011,44141,93518
2011,18719,93519
2011,33929,93522
2011,55539,93523
2011,,93524
2011,50833,93526
2011,52667,93527
2011,31146,93528
2011,25570,93529
2011,45208,93530
2011,106875,93531
2011,66838,93532
2011,36323,93534
2011,45781,93535
2011,72232,93536
2011,49865,93541
2011,52490,93543
2011,53450,93544
2011,34946,93545
2011,64875,93546
2011,44620,93549
2011,40649,93550
2011,79357,93551
2011,57766,93552
2011,57202,93553
2011,27778,93554
2011,60530,93555
2011,46776,93558
2011,54924,93560
2011,56390,93561
2011,32311,93562
2011,110139,93563
2011,44786,93591
2011,15347,93592
2011,56638,93601
2011,65864,93602
2011,21382,93603
2011,70074,93604
2011,84583,93605
2011,39615,93606
2011,21172,93608
2011,42823,93609
2011,42753,93610
2011,80822,93611
2011,39609,93612
2011,63031,93614
2011,33209,93615
2011,43831,93616
2011,40875,93618
2011,107053,93619
2011,37104,93620
2011,22083,93621
2011,31294,93622
2011,,93623
2011,31797,93624
2011,50200,93625
2011,33000,93626
2011,,93627
2011,64096,93628
2011,44820,93630
2011,58910,93631
2011,95799,93633
2011,128375,93634
2011,51094,93635
2011,71992,93636
2011,48983,93637
2011,39711,93638
2011,25886,93640
2011,27174,93641
2011,50033,93643
2011,45261,93644
2011,74327,93645
2011,27612,93646
2011,35646,93647
2011,36649,93648
2011,27072,93650
2011,92596,93651
2011,38333,93652
2011,48813,93653
2011,50250,93654
2011,40045,93656
